hours_studied,previous_score,attendance_percentage,stress_level,confidence_level,final_exam_score
19.33708076166622,68.47447457258686,79.3630496358254,Medium,High,100.0
11.954668694909977,83.52096489974889,63.39188741408893,High,Medium,89.72946216911191
16.526719608850016,89.7527404567152,81.19617645385225,Low,Low,100.0
14.320079008055263,63.71333804743045,82.89097017572227,Low,High,99.52715427642755
19.063319895189778,70.67938162333178,70.33698842102196,High,Medium,97.55495624678372
16.096817414629285,46.11636533811375,74.99165937390632,Low,High,96.93508369388802
4.864570615235563,68.29921375898533,86.1008004226135,Medium,High,73.84758197196261
5.940411848086231,62.94713510913749,72.10541811122641,High,Medium,69.5117408615519
7.428439870903012,49.50643898095628,94.8178854970289,Medium,High,77.50780936383221
4.996543871831658,54.49732642101046,63.19091640536355,Medium,Medium,62.20392477857657
15.963564248724815,78.88012607411837,82.4394871245737,Low,Medium,100.0
7.788789338257689,89.66812626632125,93.3704691963301,Low,Medium,94.62191103381952
3.4662968303206942,44.74647959932298,69.12199239414349,Low,Low,55.90367444190251
3.0866016258870843,94.9051416517442,97.45894423642281,Low,High,89.67507116350308
12.65822726209572,98.33029233357877,98.04947996903961,High,Low,95.93701105638026
10.864092233980658,84.4215420476205,70.36236743930557,High,High,89.72600788977196
14.208249604441573,52.688413529514115,69.45460612162029,Low,Medium,92.91146730955165
19.36356444801988,87.26920373979678,62.69521833026184,Low,Low,100.0
4.699010132669999,45.318289425393836,97.01054304373734,Low,High,73.1830570424338
6.762698297882269,75.32365086536345,66.20526410476855,Low,Low,76.94622265217352
7.0946151075442065,98.88011749361426,65.57380956717064,Low,Low,83.51401117196447
11.859575056117597,44.55247237263817,88.7408385873957,High,High,76.0867199624163
4.202725220515681,69.60484884686821,99.58305318477787,Low,High,83.16443564400744
2.2819444779126847,82.28701635191669,64.62880938694809,Medium,Medium,68.90968969443742
15.080926774215968,40.05293600209953,85.52405215054263,Low,High,95.55047345109506
4.092894758204968,52.144210628617294,92.68443954734937,Low,Low,70.3188528999649
5.214490051811823,86.54601912850327,65.7361418240955,High,Medium,70.63304143023572
12.018958715757398,50.993941665162765,79.87865573813653,Medium,Medium,81.93358687008597
13.77263060476884,76.54156660871647,93.08017342864689,Low,High,100.0
3.2823541155272205,45.91244867946628,90.95548173423899,High,High,57.962789885689766
14.954859087991462,65.44247232972614,77.15099139821598,Low,Low,98.1909756079044
17.478599358913552,49.72111868223816,89.31070317102271,Medium,High,100.0
8.728187605479395,88.90162676650387,91.19655466062362,Medium,Medium,90.17586166900851
